City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,72.37,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
3,Butaritari,KI,81.88,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
4,Ahipara,NZ,66.0,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
6,Sao Filipe,CV,74.44,scattered clouds,14.8961,-24.4956,Hotel Xaguate
8,Port Alfred,ZA,63.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
10,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Komsomolskiy,UZ,65.12,clear sky,40.4272,71.7189,Ikathouse
14,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
17,Atuona,PF,78.73,few clouds,-9.8,-139.0333,Villa Enata
18,Soyo,AO,78.04,scattered clouds,-6.1349,12.3689,Hotel Mpampa
19,Atar,MR,89.13,clear sky,20.5169,-13.0499,Oumou Elghoura
24,Rikitea,PF,76.98,light rain,-23.1203,-134.9692,People ThankYou
27,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
29,Ruteng,ID,65.1,broken clouds,-8.6136,120.4721,Hotel FX 72
30,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
33,Anloga,GH,82.09,scattered clouds,5.7947,0.8973,Pin Drop Hotel
34,Sidi Ali,DZ,61.57,clear sky,36.0998,0.4206,
38,Sertania,BR,73.6,overcast clouds,-8.0736,-37.2644,Hotel Esperança
41,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
44,Dingle,PH,81.14,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
45,Vao,NC,73.65,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
48,Bac Lieu,VN,82.09,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
50,Katsuura,JP,61.93,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
54,Sakakah,SA,62.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
55,Taos,US,81.0,clear sky,36.4072,-105.5731,El Monte Sagrado
56,Suluq,LY,64.06,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
57,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Georgetown,MY,83.95,few clouds,5.4112,100.3354,Cititel Penang
60,The Valley,AI,80.74,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
63,Fallon,US,71.47,dust,39.4735,-118.7774,Best Western Fallon Inn & Suites
64,Mutis,CO,80.64,broken clouds,6.2262,-77.4044,Paraiso Escondido
65,Tura,IN,72.1,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
66,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
71,Mercedes,AR,64.78,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
73,Airai,TL,62.89,broken clouds,-8.9266,125.4092,
74,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
77,Belmonte,BR,76.48,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
78,Mackay,AU,71.58,overcast clouds,-21.15,149.2,International Lodge Motel
80,Balaipungut,ID,73.98,moderate rain,1.05,101.2833,
81,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
83,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
84,Barranca,PE,66.34,few clouds,-10.75,-77.7667,El Olivar Hospedaje
86,Bintulu,MY,77.41,light rain,3.1667,113.0333,900 Boutique INN
87,Pathein,MM,79.77,overcast clouds,16.7833,94.7333,Pathein Hotel
89,Tema,GH,81.01,few clouds,5.667,-0.0166,Beulah Royale Hotel Tema
90,Lagoa,PT,60.35,broken clouds,39.05,-27.9833,Casa Das Faias
92,Padang,ID,77.94,light rain,-0.9492,100.3543,Mercure Padang
93,Funtua,NG,86.38,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
94,Brokopondo,SR,77.29,broken clouds,4.75,-55.1667,Matu Island
98,Oussouye,SN,78.98,clear sky,12.485,-16.5469,Auberge du Routard
99,Lorengau,PG,83.03,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
100,Hirara,JP,75.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
102,Taganak,PH,78.94,overcast clouds,6.0833,118.3,Taganak
105,Sirjan,IR,65.17,broken clouds,29.452,55.6814,MAPNA Building
106,Port Elizabeth,ZA,60.31,few clouds,-33.918,25.5701,39 On Nile Guest House
108,Gizo,SB,83.98,light rain,-8.103,156.8419,Imagination Island
110,Pangoa,PE,72.41,broken clouds,-12.1167,-73.0,
111,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
115,Orleans,US,89.01,clear sky,30.0335,-89.9501,"Holiday Inn Express New Orleans East, an IHG Hotel"
116,New Richmond,US,74.88,clear sky,45.123,-92.5366,Coratel Inn & Suites by Jasper New Richmond
117,Tougue,GN,81.32,broken clouds,11.4667,-11.6,
119,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
121,Hasaki,JP,66.6,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
123,Antananarivo,MG,64.36,broken clouds,-18.9137,47.5361,Hotel Carlton
124,Hithadhoo,MV,83.46,few clouds,-0.6,73.0833,Scoop Guest House
125,Avarua,CK,80.64,overcast clouds,-21.2078,-159.775,Paradise Inn
127,Nouakchott,MR,67.93,clear sky,18.0858,-15.9785,HOTEL IMAN
128,Carnarvon,AU,62.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
129,Magsalangi,PH,82.4,clear sky,12.1828,123.5666,
130,Korla,CN,70.9,broken clouds,41.7597,86.1469,Gulisitan Hotel
133,Asyut,EG,73.58,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
135,Hargeysa,SO,72.01,few clouds,9.56,44.065,City Center Hotel
137,Pangani,TZ,75.29,broken clouds,-5.4333,38.9667,Safari Mashariki Lodge
138,Chimbote,PE,66.36,few clouds,-9.0853,-78.5783,Hotel Briliá
