City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Arraial Do Cabo,-22.9661,-42.0278,broken clouds,72.37,81,64,10.92,BR
1,Rio Grande,-32.035,-52.0986,clear sky,55.51,70,0,6.29,BR
2,Hobart,-42.8794,147.3294,broken clouds,53.46,83,75,9.22,AU
3,Butaritari,3.0707,172.7902,overcast clouds,81.88,78,98,15.48,KI
4,Ahipara,-35.1667,173.1667,scattered clouds,66.0,64,35,2.33,NZ
5,Punta Arenas,-53.15,-70.9167,few clouds,46.51,71,20,19.57,CL
6,Sao Filipe,14.8961,-24.4956,scattered clouds,74.44,77,35,12.86,CV
7,Bluff,-46.6,168.3333,overcast clouds,57.79,96,100,6.38,NZ
8,Port Alfred,-33.5906,26.891,overcast clouds,63.18,74,100,1.99,ZA
9,Albany,42.6001,-73.9662,overcast clouds,56.62,39,100,9.08,US
10,Puerto Ayora,-0.7393,-90.3518,scattered clouds,78.76,83,28,8.9,EC
11,Cape Town,-33.9258,18.4232,clear sky,57.9,80,0,16.11,ZA
12,Komsomolskiy,40.4272,71.7189,clear sky,65.12,63,0,9.22,UZ
13,San Ignacio,17.1561,-89.0714,scattered clouds,102.34,37,40,0.0,BZ
14,Kahului,20.8947,-156.47,few clouds,82.42,65,20,23.02,US
15,Clyde River,70.4692,-68.5914,broken clouds,21.43,86,75,0.0,CA
16,Tuktoyaktuk,69.4541,-133.0374,broken clouds,35.6,80,75,12.66,CA
17,Atuona,-9.8,-139.0333,few clouds,78.73,77,20,15.88,PF
18,Soyo,-6.1349,12.3689,scattered clouds,78.04,87,30,1.16,AO
19,Atar,20.5169,-13.0499,clear sky,89.13,11,9,5.95,MR
20,Hilo,19.7297,-155.09,overcast clouds,91.27,80,100,12.66,US
21,Mataura,-46.1927,168.8643,overcast clouds,57.47,98,100,0.89,NZ
22,Anadyr,64.75,177.4833,few clouds,36.1,69,20,11.18,RU
23,Provideniya,64.3833,-173.3,overcast clouds,33.73,87,100,7.34,RU
24,Rikitea,-23.1203,-134.9692,light rain,76.98,84,48,14.76,PF
25,Kungurtug,50.5994,97.5228,overcast clouds,47.43,47,89,1.39,RU
26,Ulladulla,-35.35,150.4667,clear sky,56.3,58,0,6.06,AU
27,Ambon,-3.6954,128.1814,scattered clouds,80.74,94,40,4.61,ID
28,Busselton,-33.65,115.3333,broken clouds,59.29,66,76,3.42,AU
29,Ruteng,-8.6136,120.4721,broken clouds,65.1,91,64,2.17,ID
30,Vaini,-21.2,-175.2,broken clouds,77.16,78,75,10.36,TO
31,Steinfurt,52.1505,7.3366,broken clouds,51.64,89,59,9.78,DE
32,Bredasdorp,-34.5322,20.0403,scattered clouds,54.09,91,34,1.23,ZA
33,Anloga,5.7947,0.8973,scattered clouds,82.09,78,44,10.16,GH
34,Sidi Ali,36.0998,0.4206,clear sky,61.57,57,3,3.38,DZ
35,Yellowknife,62.456,-114.3525,light rain,37.92,93,100,23.02,CA
36,Beringovskiy,63.05,179.3167,overcast clouds,34.45,90,100,6.93,RU
37,Hermanus,-34.4187,19.2345,light rain,53.8,83,51,5.61,ZA
38,Sertania,-8.0736,-37.2644,overcast clouds,73.6,77,100,7.34,BR
39,Kashiwazaki,37.3667,138.55,scattered clouds,56.88,58,34,6.58,JP
40,Camargo,27.6667,-105.1667,clear sky,96.73,6,0,1.92,MX
41,Puerto Baquerizo Moreno,-0.9,-89.6,scattered clouds,79.79,65,40,8.05,EC
42,Aklavik,68.2191,-135.0107,few clouds,44.6,53,20,10.36,CA
43,Ushuaia,-54.8,-68.3,few clouds,49.66,50,20,20.71,AR
44,Dingle,10.9995,122.6711,scattered clouds,81.14,80,29,10.16,PH
45,Vao,-22.6667,167.4833,broken clouds,73.65,61,57,16.8,NC
46,Zhigalovo,54.8097,105.1578,overcast clouds,42.6,78,100,7.56,RU
47,Tygda,53.1167,126.3333,clear sky,45.21,31,1,2.91,RU
48,Bac Lieu,9.285,105.7244,overcast clouds,82.09,80,92,12.97,VN
49,Ancud,-41.8697,-73.8203,overcast clouds,56.75,88,100,16.33,CL
50,Katsuura,35.1333,140.3,broken clouds,61.93,81,52,15.26,JP
51,Jamestown,42.097,-79.2353,clear sky,58.64,35,0,13.8,US
52,New Norfolk,-42.7826,147.0587,overcast clouds,52.92,74,92,2.98,AU
53,Tasiilaq,65.6145,-37.6368,overcast clouds,30.36,76,99,6.06,GL
54,Sakakah,29.9697,40.2064,clear sky,62.17,25,1,2.26,SA
55,Taos,36.4072,-105.5731,clear sky,81.0,11,0,31.07,US
56,Suluq,31.6682,20.2521,clear sky,64.06,76,0,15.66,LY
57,Kapaa,22.0752,-159.319,overcast clouds,82.38,76,100,18.41,US
58,Qaanaaq,77.484,-69.3632,overcast clouds,16.52,82,100,3.96,GL
59,Georgetown,5.4112,100.3354,few clouds,83.95,88,20,8.05,MY
60,The Valley,18.217,-63.0578,scattered clouds,80.74,74,40,14.97,AI
61,Khatanga,71.9667,102.5,overcast clouds,2.66,98,99,8.1,RU
62,Castro,-24.7911,-50.0119,broken clouds,51.44,83,70,5.01,BR
63,Fallon,39.4735,-118.7774,dust,71.47,9,40,14.97,US
64,Mutis,6.2262,-77.4044,broken clouds,80.64,83,76,3.67,CO
65,Tura,25.5198,90.2201,clear sky,72.1,76,0,2.73,IN
66,Pemba,-12.974,40.5178,few clouds,79.5,83,20,8.05,MZ
67,Norman Wells,65.282,-126.8329,overcast clouds,42.84,56,100,5.75,CA
68,Coihaique,-45.5752,-72.0662,light rain,56.01,94,75,5.75,CL
69,Barrow,71.2906,-156.7887,overcast clouds,23.02,86,100,6.91,US
70,Coquimbo,-29.9533,-71.3436,overcast clouds,58.73,77,100,5.75,CL
71,Mercedes,-34.6515,-59.4307,scattered clouds,64.78,68,31,8.63,AR
72,Severo-Kurilsk,50.6789,156.125,overcast clouds,44.44,87,100,4.05,RU
73,Airai,-8.9266,125.4092,broken clouds,62.89,90,55,4.74,TL
74,Kuching,1.55,110.3333,few clouds,77.22,94,20,1.14,MY
75,Semey,50.4111,80.2275,scattered clouds,39.52,45,49,9.4,KZ
76,Pevek,69.7008,170.3133,overcast clouds,27.73,85,100,2.55,RU
77,Belmonte,-15.8631,-38.8828,broken clouds,76.48,81,74,7.02,BR
78,Mackay,-21.15,149.2,overcast clouds,71.58,83,100,12.66,AU
79,Hovd,48.0056,91.6419,broken clouds,55.96,38,76,8.9,MN
80,Balaipungut,1.05,101.2833,moderate rain,73.98,95,100,2.71,ID
81,Saint-Philippe,-21.3585,55.7679,scattered clouds,72.99,84,34,10.78,RE
82,Aranos,-24.1333,19.1167,clear sky,51.89,55,0,11.16,NA
83,Alofi,-19.0595,-169.9187,overcast clouds,78.69,89,94,3.44,NU
84,Barranca,-10.75,-77.7667,few clouds,66.34,81,19,7.9,PE
85,Luderitz,-26.6481,15.1594,clear sky,54.88,77,0,16.49,NA
