City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2022-05-07 16:14:22,-21.2078,-159.775,75.25,94,20,2.3
1,Ushuaia,AR,2022-05-07 16:10:10,-54.8,-68.3,55.06,47,20,6.91
2,Conceicao Da Barra,BR,2022-05-07 16:14:30,-18.5933,-39.7322,80.78,63,88,13.13
3,Hilo,US,2022-05-07 16:14:31,19.7297,-155.09,80.28,93,100,8.05
4,Dubbo,AU,2022-05-07 16:14:31,-32.25,148.6167,37.53,100,0,0.0
5,Vaini,TO,2022-05-07 16:14:32,-21.2,-175.2,71.76,94,75,0.0
6,Constitucion,CL,2022-05-07 16:14:32,-35.3333,-72.4167,62.55,56,0,6.55
7,Hobart,AU,2022-05-07 16:14:33,-42.8794,147.3294,53.46,77,75,12.66
8,Butaritari,KI,2022-05-07 16:14:33,3.0707,172.7902,81.28,78,97,11.74
9,Pleasanton,US,2022-05-07 16:14:29,37.6624,-121.8747,60.89,71,75,14.97
10,Geraldton,AU,2022-05-07 16:14:34,-28.7667,114.6,55.81,88,5,5.75
11,Longyearbyen,SJ,2022-05-07 16:14:34,78.2186,15.6401,15.64,73,75,17.27
12,Te Anau,NZ,2022-05-07 16:14:35,-45.4167,167.7167,56.3,93,93,3.56
13,Kiunga,PG,2022-05-07 16:14:35,-6.1219,141.2906,74.8,100,96,2.75
14,Rikitea,PF,2022-05-07 16:14:36,-23.1203,-134.9692,77.43,82,57,7.94
15,Tasiilaq,GL,2022-05-07 16:14:36,65.6145,-37.6368,32.16,67,99,5.68
16,Bathsheba,BB,2022-05-07 16:14:37,13.2167,-59.5167,86.61,66,20,14.97
17,Ardakan,IR,2022-05-07 16:14:37,32.31,54.0175,76.03,24,96,20.2
18,Mahenge,TZ,2022-05-07 16:14:38,-8.6833,36.7167,66.76,78,81,2.28
19,Ilulissat,GL,2022-05-07 16:14:38,69.2167,-51.1,28.42,64,20,5.75
20,Jawhar,SO,2022-05-07 16:10:18,2.7809,45.5005,83.1,67,91,15.79
21,Quattro Castella,IT,2022-05-07 16:14:39,44.635,10.4743,64.26,89,100,3.76
22,Punta Arenas,CL,2022-05-07 16:13:17,-53.15,-70.9167,51.91,66,40,25.32
23,Busselton,AU,2022-05-07 16:14:39,-33.65,115.3333,60.71,64,63,5.48
24,Araouane,ML,2022-05-07 16:14:40,18.9048,-3.5265,105.78,9,0,12.8
